name,locate,open,close,low,high,num_trades,trade_vol,num_orders,max_bids,max_asks
A,1,84.8800,84.3400,83.6100,85.0200,7117,480835,43058,0,0
AA,2,14.2800,14.2900,13.8100,14.4000,9238,1019118,113185,0,0
AAAU,3,15.7100,15.7400,15.7100,15.8000,10,1727,21538,0,0
AACG,4,1.1600,1.1900,1.1900,1.2400,8,318,298,0,0
AADR,5,54.1300,53.9200,54.1300,54.1300,4,262,640,0,0
AAL,6,26.2700,27.7200,26.2600,27.7800,17702,2353638,272285,0,0
AAMC,7,12.9300,12.9300,12.9300,12.9300,1,80,210,0,0
AAME,8,2.0500,2.1000,2.0000,2.2200,14,874,394,0,0
AAN,9,63.4600,62.7900,62.4500,63.9000,1845,93940,14493,0,0
AAOI,10,11.7700,11.6500,11.2100,11.8800,3136,312567,43079,0,0
AAON,11,53.1600,54.2800,53.2000,54.3400,922,33249,15728,0,0
AAP,12,137.4400,135.2300,133.4200,137.4700,3311,142596,29463,0,0
AAPL,13,320.6700,323.8700,318.7500,324.0800,70506,5047539,907157,0,0
AAT,14,46.9500,46.6400,46.3600,47.1900,795,23386,8448,0,0
AAU,15,0.5000,0.5100,0.5000,0.5100,3,201,5234,0,0
AAWW,16,23.0600,22.9800,22.7700,23.4000,2299,134976,26530,0,0
AAXJ,17,69.8800,70.3700,69.5200,70.4400,2982,319584,145961,0,0
AAXN,18,79.2000,78.3400,77.1400,80.0600,2401,102746,24453,0,0
AB,19,33.7500,33.5600,33.3500,33.7600,233,15060,2970,0,0
ABB,20,23.4000,23.6100,23.3000,23.6200,1846,312333,86546,0,0
ABBV,21,82.5800,81.7800,81.1900,82.7900,16475,1395380,297446,0,0
ABC,22,89.1000,88.8700,86.9500,92.0600,5754,331364,26737,0,0
ABCB,23,40.2600,41.1300,40.0600,41.1700,2101,96045,20713,0,0
ABDC,24,9.4800,9.2000,9.1800,9.4800,168,16278,896,0,0
ABEO,25,2.3500,2.3700,2.3100,2.4100,977,183853,8405,0,0
ABEQ,26,0.0000,24.6200,0.0000,0.0000,1,100,3698,0,0
ABEV,27,4.2400,4.2600,4.1700,4.2700,1683,2131574,104800,0,0
ABG,28,98.5100,99.5850,97.9800,99.6700,593,13912,7669,0,0
ABIO,29,5.4600,5.2600,5.2600,5.4800,45,4832,410,0,0
ABM,30,38.7300,38.8900,38.3000,39.0500,1009,27324,13991,0,0
ABMD,31,187.7000,186.8500,183.5900,189.2000,3744,151608,32285,0,0
ABR,32,15.0300,15.1950,15.0100,15.1900,455,44237,5583,0,0
ABR-A,33,0.0000,0.0000,0.0000,0.0000,0,0,61,0,0
ABR-B,34,0.0000,0.0000,0.0000,0.0000,0,0,41,0,0
ABR-C,35,0.0000,0.0000,0.0000,0.0000,0,0,48,0,0
ABT,36,88.5200,89.1500,87.9800,89.2100,8523,670107,141572,0,0
ABTX,37,37.5600,37.9500,37.3800,37.9600,950,41120,7120,0,0
ABUS,38,2.8600,2.7900,2.6400,2.8500,316,35814,2791,0,0
